cname,ccode,ti_cpi,vdem_academ,wdi_fertility,wdi_afp,bl_asymf,wdi_expedu,wdi_elprodcoal,wef_iu,wdi_foodins,ht_colonial,lp_legor,cai_foetal,cai_mental,cai_physical,ccp_initiat,ccp_market,h_j,wdi_homicides,ccp_strike,wdi_lfpr,br_pvote,br_elect,van_part,bmr_demdur,fh_polity2,vdem_polyarchy,mad_gdppc,top_top1_income_share,wef_sp
Bahamas (the),44,65,NA,1.751999974250793,0.5749464631080627,NA,NA,NA,NA,NA,5,1,1,1,1,2,2,1,31.95817184448242,3,81.339996337890625,0,3,48.84999847412109,46,NA,NA,NA,0.1972,NA
Bahrain,48,36,0.0410000011324883,1.986999988555908,2.070920467376709,9.4530001,2.327810049057007,0,98.6434326171875,NA,5,1,1,1,1,2,2,0,NA,3,74.62999725341797,0,2,14,48,0.41666666,0.119999997317791,39498.765625,0.24969999,69.33333587646484
Bangladesh,50,26,0.2230000048875809,2.03600001335144,0.3298017084598541,6.8579998,1.326320052146912,1.689515471458435,15,10.60000038146973,5,1,0,0,0,2,2,0,2.373328685760498,3,61.40000152587891,0,2,28.8799991607666,5,2.6666665,0.2870000004768372,4099.2529296875,0.16329999,168
Armenia,51,35,0.800000011920929,1.754999995231628,3.917756080627441,11.766,2.707590103149414,0,64.74488067626953,1.100000023841858,0,NA,1,1,1,2,96,0,1.693915605545044,1,61.59999847412109,1,3,51.72000122070313,1,6.75,0.4720000028610229,11454.4248046875,0.1785,162.3333282470703
Barbados,52,68,0.9359999895095824,1.61899995803833,0.3927122950553894,9.9040003,4.366380214691162,NA,81.76078033447266,NA,5,1,1,1,1,2,2,NA,9.768350601196287,3,77.7300033569336,0,3,53.81000137329102,53,NA,0.7749999761581421,11995.1865234375,NA,76.33333587646484
Belgium,56,75,0.9670000076293944,1.620000004768372,0.618890643119812,11.623,6.412280082702637,6.108011722564697,88.65506744384766,1.100000023841858,0,2,1,1,1,2,2,1,1.690054178237915,3,68.62999725341797,1,3,68.16999816894531,125,9.5,0.890999972820282,39756.203125,0.086000003,703.66668701171875
Bhutan,64,68,0.5410000085830688,1.975000023841858,NA,NA,6.850840091705322,NA,NA,NA,5,1,0,1,0,2,96,0,1.193007349967957,3,69.70999908447266,0,3,17.10000038146973,112,7.166667,0.5260000228881836,NA,0.1417,NA
Bolivia (Plurinational State of),68,29,0.7770000100135803,2.730000019073486,1.262631177902222,9.7910004,NA,0,43.832275390625,NA,2,2,0,1,1,1,2,0,6.218374252319336,1,74.04000091552734,1,3,51.59999847412109,37,7.583333,0.6140000224113464,6695.7744140625,0.1972,110.6666641235352
Bosnia and Herzegovina,70,38,0.7400000095367432,1.264999985694885,0.7956576943397522,NA,NA,63.97722244262695,70.12013244628906,1.5,0,NA,1,1,1,2,1,NA,1.173310279846191,3,56.61999893188477,1,2,51.70000076293945,27,NA,0.5410000085830688,10460.5205078125,0.090499997,80.33333587646484
Botswana,72,61,0.8740000128746033,2.874000072479248,0.8576337695121765,10.318,NA,96.35996246337892,47,21.5,5,1,1,1,1,2,2,0,NA,3,73.06999969482422,0,3,32.40000152587891,53,8.25,0.6859999895095825,15842.1298828125,0.2274,93.66666412353516
Brazil,76,35,0.6330000162124634,1.730000019073486,0.7215121984481812,8.6260004,6.322549819946289,4.722411155700684,67.471282958984375,1.600000023841858,7,2,0,0,0,1,96,0,27.38253021240234,1,70.30999755859375,1,3,55,34,8.666666,0.7620000243186951,14033.5654296875,0.2471,493.3333435058594
Belize,84,NA,NA,2.306999921798706,0.8633888363838196,11.286,7.561490058898926,NA,NA,NA,5,NA,1,1,1,2,2,NA,37.78857040405273,3,67.45999908447266,0,3,41.13999938964844,38,NA,NA,NA,0.1972,NA
Solomon Islands,90,44,0.9079999923706056,4.402999877929688,NA,NA,NA,NA,NA,NA,5,1,0,0,0,2,2,NA,NA,3,85.31999969482422,0,3,42.7599983215332,13,8.666666,0.6029999852180481,NA,NA,NA
Brunei Darussalam,96,63,NA,1.848000049591064,3.730019330978394,9.0760002,4.42540979385376,0,94.60004425048828,NA,5,NA,0,0,0,2,2,1,NA,3,70.1500015258789,0,0,0,34,NA,NA,NA,0.1356,63.33333206176758
Bulgaria,100,42,0.906000018119812,1.559999942779541,1.110465288162231,11.199,4.09250020980835,46.20655822753906,64.782012939453125,1.899999976158142,0,3,1,1,1,2,1,0,1.304666638374329,1,71.66999816894531,1,3,40.7400016784668,29,8.916666,0.6150000095367432,18444.259765625,0.1822,220.6666717529297
Myanmar,104,29,0.4580000042915344,2.154000043869019,2.077611207962036,5.427,1.922889947891235,1.784596085548401,NA,1.899999976158142,5,3,0,0,0,2,1,0,2.258451223373413,3,66.470001220703125,0,2,22.79999923706055,57,6.1666665,0.414000004529953,5838.21728515625,0.1709,NA
Burundi,108,17,0.1589999943971634,5.409999847412109,1.058607220649719,3.4349999,5.078649997711182,NA,2.660748481750488,NA,8,2,0,1,1,2,2,1,6.054537296295166,1,79.94000244140625,1,2,32.47000122070313,4,2.6666667,0.1580000072717667,651.35888671875,0.14740001,38.33333206176758
Belarus,112,44,0.1990000009536743,1.447999954223633,3.053529024124146,NA,4.794990062713623,0,NA,NA,0,NA,1,1,1,2,2,0,2.390872716903687,1,78.19999694824219,0,2,64.01000213623047,25,1.1666666,0.2540000081062317,18727.318359375,0.102,NA
Cambodia,116,20,0.3810000121593475,2.503000020980835,2.082702159881592,4.8730001,2.162859916687012,48.39663314819336,40,13.60000038146973,6,3,1,1,1,2,1,0,NA,1,84.94000244140625,1,2,43.40000152587891,64,2.75,0.2179999947547913,3628.56103515625,0.1856,92.66666412353516
Cameroon,120,25,0.3190000057220459,4.572000026702881,0.3120684623718262,7.1240001,3.131200075149536,0,23.20297241210938,26.70000076293945,6,2,0,1,1,2,2,0,1.3880934715271,1,76.98999786376953,0,2,14.5,59,2.3333333,0.3120000064373016,2888.0458984375,0.1585,114.3333358764648
Canada,124,81,0.9190000295639038,1.498800039291382,0.3557753264904022,12.876,NA,9.83644962310791,91,0.699999988079071,0,1,1,1,1,2,2,1,1.755921125411987,3,78.470001220703125,0,3,50.40999984741211,152,10,0.8489999771118164,44868.7421875,0.14929999,1032.666625976563
Cabo Verde,132,57,0.8029999732971191,2.273999929428101,0.5139362215995789,NA,5.181749820709229,NA,58.17137145996094,8.600000381469727,7,2,1,1,1,1,1,NA,6.804422378540039,2,63.72999954223633,1,3,41.81999969482422,28,10,0.7580000162124634,6831.2158203125,0.1391,23
Central African Republic (the),140,26,0.6570000052452087,4.721000194549561,0.5414913296699524,4.112,NA,NA,NA,61.79999923706055,6,2,0,0,0,2,96,0,20.12040138244629,2,72.80000305175781,0,2,16,16,4,0.4050000011920929,623.4888916015625,0.31,NA
Sri Lanka,144,38,0.7329999804496765,2.198999881744385,3.645272970199585,11.127,2.124209880828857,33.70505142211914,34.11334609985352,NA,5,1,0,0,0,2,2,0,2.421243667602539,3,57.93000030517578,1,3,57.09999847412109,4,6.916667,0.628000020980835,11662.90625,0.20640001,147.6666717529297
Chad,148,19,0.5559999942779541,5.747000217437744,0.5674445629119873,NA,2.454819917678833,NA,6.499998092651367,NA,6,2,1,0,1,2,2,0,NA,1,70.86000061035156,0,2,34.79000091552734,59,2.4166667,0.2639999985694885,2046.363159179688,0.15710001,38.33333206176758
Chile,152,67,0.9589999914169312,1.64900004863739,1.301122784614563,10.639,5.419459819793701,37.14433670043945,82.327484130859375,3.599999904632568,2,2,0,0,0,2,2,1,4.404894351959229,2,68.95999908447266,1,3,37.68000030517578,29,10,0.8629999756813049,22104.765625,0.2647,319.3333435058594
China,156,39,0.096000000834465,1.690000057220459,0.3428813815116882,8.71,3.511773586273193,70.3094253540039,54.29999923706055,NA,0,3,1,1,1,2,1,0,0.5270907878875732,3,76.0199966430664,1,0,0,219,1.1666666,0.0769999995827675,13101.7060546875,0.14,720.33331298828125
Taiwan (Province of China),158,63,0.8970000147819519,NA,NA,12.356,NA,NA,92.7819595336914,NA,0,4,NA,NA,NA,1,2,1,NA,3,NA,0,3,52.79999923706055,23,10,0.8399999737739563,44663.86328125,0.1451,439.3333435058594
Colombia,170,36,0.7039999961853027,1.807000041007996,1.834122061729431,9.5190001,4.457489967346191,11.85215282440186,62.25988006591797,NA,2,2,1,1,1,1,1,0,25.34380340576172,1,73.5999984741211,1,3,39.77000045776367,61,7.583333,0.6489999890327454,13545.0498046875,0.1885,237.3333282470703
Comoros (the),174,27,0.7860000133514404,4.204999923706055,NA,NA,2.5450599193573,NA,NA,NA,6,NA,0,1,1,2,1,1,NA,2,46.47000122070313,0,3,30.6200008392334,1,4.25,0.4420000016689301,1724.420654296875,0.1415,NA
Congo (the),178,19,0.4670000076293945,4.427999973297119,0.5649318695068359,6.3280001,3.51104998588562,0,NA,51.09999847412109,6,2,0,0,0,2,2,0,NA,2,70.4800033569336,0,2,28.60000038146973,56,2.3333333,0.2509999871253967,5714.591796875,0.2052,NA
Congo (the Democratic Republic of the),180,20,0.3030000030994415,5.919000148773193,0.4656762778759003,6.7340002,1.454949975013733,0,8.619904518127441,38.5,8,2,0,0,0,2,2,0,NA,1,64.18000030517578,1,2,26.3700008392334,59,2.1666667,0.3149999976158142,859.3817138671875,0.1463,55.66666793823242
Costa Rica,188,56,0.9350000023841858,1.753999948501587,0.4088740348815918,8.5740004,6.978569984436035,0,74.08679962158203,2.400000095367432,2,2,0,1,1,1,2,0,11.26125431060791,1,68.61000061035156,1,3,44.4900016784668,70,10,0.8949999809265137,14686.25390625,0.2097,163
Croatia,191,48,0.8730000257492065,1.470000028610229,1.014020800590515,11.984,3.917129993438721,20.55525970458984,72.68877410888672,0.8999999761581421,0,NA,1,1,1,2,1,1,0.5774217844009399,1,66.58000183105469,1,3,51.59999847412109,19,9.333334,0.7319999933242798,22012.314453125,0.1039,238.6666717529297
Cuba,192,47,0.1169999986886978,1.618000030517578,1.489189028739929,11.096,NA,0,NA,NA,2,3,1,1,1,1,1,0,5.046268463134766,3,64.26000213623047,0,1,64.43000030517578,66,1.6666666,0.181999996304512,8325.630859375,0.1453,NA
Cyprus,196,59,0.9580000042915344,1.328999996185303,2.557009220123291,11.948,5.777190208435059,0,84.43358612060547,NA,5,1,1,1,1,2,2,1,1.261286377906799,1,74.05000305175781,1,3,30.97999954223633,43,10,0.8560000061988831,27184.416015625,0.1173,170
Czechia,203,59,0.9419999718666076,1.710000038146973,0.4079448580741882,12.924,3.854020118713379,53.06114959716797,80.68816375732422,0,0,NA,1,1,1,2,2,1,0.6202405691146851,1,76.79000091552734,1,3,48.5,26,9.75,0.8119999766349792,30748.5078125,0.102,396.6666564941406
