# source, target, id, weight
57,13,2184,1
57,34,2185,1
57,29,2186,1
57,68,2187,1
57,36,2188,1
57,84,2189,1
57,71,2190,1
57,7,2191,2
57,80,2192,2
57,67,2193,2
57,53,2194,2
57,68,2195,2
57,95,2196,-1
57,83,2197,-1
57,74,2198,-1
57,95,2199,-2
60,2,1652,1
60,27,1653,1
60,64,1654,1
60,65,1655,1
60,21,1656,1
60,59,1657,1
60,41,1658,2
60,26,1659,2
60,66,1660,2
60,63,1661,2
60,42,1662,2
60,82,1663,2
60,17,1664,2
60,31,1665,2
60,30,1666,2
60,8,1667,2
60,32,1668,2
60,10,1669,2
60,14,1670,2
60,3,1671,2
60,61,1672,2
60,5,1673,2
60,58,1674,2
60,11,1675,-1
61,99,1822,1
61,43,1823,1
61,98,1824,1
61,96,1825,1
61,60,1826,2
61,32,1827,2
61,100,1828,2
61,101,1829,2
61,99,1830,2
61,93,1831,-1
62,81,1575,1
62,2,1576,1
62,27,1577,1
62,64,1578,1
62,15,1579,1
62,84,1580,1
62,30,1581,1
62,11,1582,1
62,31,1583,1
62,15,1584,2
62,56,1585,-2
63,60,1623,1
63,64,1624,1
63,61,1625,1
63,8,1626,1
63,16,1627,1
63,17,1628,1
63,26,1629,2
63,82,1630,2
63,10,1631,2
63,14,1632,2
63,5,1633,2
64,42,1611,1
64,14,1612,1
64,17,1613,1
64,96,1614,1
64,62,1615,1
64,41,1616,2
64,14,1617,2
64,45,1618,-1
64,50,1619,-1
64,48,1620,-1
64,47,1621,-1
64,45,1622,-2
65,27,1586,1
65,38,1587,1
65,22,1588,1
65,19,1589,1
65,66,1590,1
65,9,1591,1
65,66,1592,2
65,59,1593,2
65,43,1594,2
65,95,1595,-1
65,62,1596,-1
65,16,1597,-1
65,53,1598,-1
65,53,1599,-2
66,27,1600,1
66,19,1601,1
66,65,1602,1
66,58,1603,1
66,43,1604,1
66,59,1605,1
66,65,1606,2
66,59,1607,2
66,53,1608,-1
66,57,1609,-1
66,53,1610,-2
67,102,2004,1
67,71,2005,1
67,68,2006,1
67,53,2007,1
67,57,2008,1
67,80,2009,2
67,68,2010,2
67,43,2011,-1
67,104,2012,-1
67,75,2013,-1
67,49,2014,-1
67,45,2015,-1
67,46,2016,-1
67,95,2017,-1
67,103,2018,-1
67,96,2019,-1
67,43,2020,-2
67,48,2021,-2
67,47,2022,-2
67,101,2023,-2
67,74,2024,-2
70,43,1924,1
70,102,1925,1
70,68,1926,1
70,45,1927,1
70,101,1928,1
70,48,1929,1
70,103,1930,1
70,96,1931,1
70,71,1932,1
70,75,1933,2
70,49,1934,2
70,83,1935,2
70,78,1936,2
70,100,1937,-1
70,52,1938,-1
70,100,1939,-2
71,43,2200,1
71,12,2201,1
71,68,2202,1
71,6,2203,1
71,52,2204,1
71,57,2205,1
71,52,2206,2
71,33,2207,2
71,28,2208,2
71,25,2209,2
71,20,2210,2
71,19,2211,2
71,55,2212,2
71,80,2213,2
71,67,2214,2
71,102,2215,2
71,68,2216,2
71,74,2217,-2
72,77,2278,2
72,73,2279,2
72,83,2280,2
72,98,2281,2
72,78,2282,2
72,44,2283,2
72,88,2284,2
72,50,2285,2
72,89,2286,2
72,51,2287,2
73,86,2245,1
73,72,2246,1
73,88,2247,1
73,83,2248,1
73,44,2249,1
73,98,2250,1
73,77,2251,1
73,89,2252,1
73,50,2253,1
73,69,2254,1
73,86,2255,2
73,51,2256,2
73,76,2257,-1
73,87,2258,-1
73,90,2259,-1
73,76,2260,-2
74,86,2218,1
74,95,2219,1
74,76,2220,1
74,87,2221,1
74,101,2222,1
74,76,2223,2
74,2,2224,-1
74,58,2225,-1
74,27,2226,-1
74,79,2227,-1
74,27,2228,-2
